"","mean","sd","2.5%","50%","97.5%"
"(Intercept)",0.415690383955288,1.10126363993701,0.343761522566324,0.415396679049219,0.502801016923902
"z_glucose",2.94810592758746,1.11572556378821,2.38167206737054,2.94652323268518,3.67687934766988
"z_bmi",1.90972628360718,1.1132332188163,1.55054237458666,1.90589373486877,2.3618560569323
"z_age",1.50565481556072,1.10452584860754,1.24661018996093,1.50415076508985,1.83295600783965
"z_bp",0.895877113354773,1.10965927390003,0.730422325174511,0.893504495422812,1.09738248216104
