"","mean","sd","2.5%","50%","97.5%"
"(Intercept)",-0.87781456516505,0.0964582840594308,-1.0678071103702,-0.878521362157496,-0.687560779746408
"z_glucose",1.08116290569901,0.109504923134115,0.867802790326494,1.08062591010614,1.30206438907202
"z_bmi",0.646959924777159,0.107268591058268,0.438604788811915,0.644951050723281,0.859447774737953
"z_age",0.409227896970978,0.0994161465987903,0.220428019561782,0.408228463249589,0.605929968482084
"z_bp",-0.109952025686856,0.104053007751813,-0.314132384485981,-0.112603913144262,0.0929277824763629
